study_ID,covidence_ID,pub_ID,pub_year,study_type,region,total_no_of_farms,total_positive_farm,health_status,pig_type,main_virus,sample_type,sample_feces,sample_serum,sample_tissues,sample_intes,sample_swab,diag_type,sample_size,farm_info,sampling,sampling_statement,DOI,title
S036,937,"Ge et al., 2018",2018,outbreak,Northeast,1,1,diseased,NA,ASFV,tissues,no,no,yes,no,no,molecular,8,NA,independent,samples from 2 dead pigs and 6 live pigs on this farm ,10.3201/eid2411.181274,"Molecular characterization of African swine fever virus, China, 2018"
S054,307,"He et al., 2023",2023,outbreak,Southeast,1,1,diseased,NA,PHEV,nasal_swabs,no,no,no,no,yes,molecular,10,NA,independent,collected nasal swab samples from ten piglets,10.1093/ve/vead051,Newly identified lineages of porcine hemagglutinating encephalomyelitis virus exhibit respiratory phenotype
S058,1260,"Hu et al., 2015",2015,outbreak,East,1,1,diseased,multiple,PRV,serum,no,yes,no,no,no,serological,102,NA,independent,A total of 102 serum samples from different production phases,10.1177/1040638715593599,"Outbreak of variant pseudorabies virus in Bartha-K61-vaccinated piglets in central Shandong PoRVince, China"
S071,280,"Ji et al., 2023",2023,outbreak,South Central,2,2,diseased,multiple,PCLV,nasal_swabs_tissues,no,no,yes,no,yes,molecular,36,NA,independent,30 fecal swabs and 6 small intestines samples of piglets,10.3389/fmicb.2023.1126707,Genetic characterization of four strains porcine circovirus-like viruses in pigs with diarrhea in Hunan PoRVince of China
S095,132,"Li et al., 2024",2024,outbreak,North,10,NA,diseased,piglet,PoRV,feces,yes,no,no,no,no,molecular,27,NA,independent,27 anal swab samples were collected from suckling piglets,10.1016/j.vetmic.2023.109947,Outbreak of piglet diarrhea associated with a new reassortant porcine rotavirus B
S128,2142,"Luo et al., 2020",2020,outbreak,Southwest,10,6,diseased,piglet,MRV2,feces,yes,no,no,no,no,molecular,78,NA,independent,78 fecal samples from diarrhea piglets,10.1016/j.meegid.2020.104420,"Prevalence and genomic characteristics of a novel reassortment mammalian orthoreovirus type 2 in diarrhea piglets in Sichuan, China."
S132,6,"Ma et al.,  2024",2024,outbreak,Multiple,45,NA,diseased,piglet,PEDV,feces_intestines,yes,no,no,yes,no,molecular,87,NA,independent,intestinal tissues and faeces were collected from newborn piglets,10.1007/s00705-024-06201-5,Molecular detection and evolutionary analysis of porcine epidemic diarrhea virus in Henan and Shaanxi PoRVinces in China
S169,2593,"Song et al., 2015",2015,outbreak,East,39,30,diseased,piglet,PEDV,feces_intestines,yes,no,no,yes,no,molecular,125,NA,independent,The intestinal samples used in this study were obtained from the dead piglets and the fecal samples were non-invasively collected,10.1371/journal.pone.0120310,"Molecular characterization and phylogenetic analysis of porcine epidemic diarrhea viruses associated with outbreaks of severe diarrhea in piglets in Jiangxi, China 2013."
S177,4665,"Sun et al., 2019",2019,outbreak,East,1,1,diseased,multiple,IAV,serum,no,yes,no,no,no,molecular,995,NA,independent,995 pig serum samples from each growing stage of the pigs,10.1016/S2095-3119(19)62579-7,Identification of an H1N1 subtype of swine influenza virus and serological analysis
S199,4136,"Wang et al., 2013",2013,outbreak,Southwest,NA,NA,diseased,piglet,PEDV,intestines,no,no,no,yes,no,molecular,120,NA,independent,120 samples (intestine and stool) were collected from piglets,https://www.redalyc.org/pdf/2890/289031817045.pdf,"Outbreak of Porcine Epidemic Diarrhea in Piglets in Gansu Province, China"
S203,2333,"Wang et al., 2013",2013,outbreak,East,42,NA,diseased,piglet,PEDV,tissues,no,no,yes,no,no,molecular,217,NA,independent,"we collected 217 piglets (126 alive, 91 dead) ",10.3201/eid1912.121088,"Porcine epidemic diarrhea virus variants with high pathogenicity, China."
S240,1956,"Yang et al., 2018",2018,outbreak,South Central,1,1,diseased,multiple,GETV,serum,no,yes,no,no,no,molecular,119,NA,independent,60 serum samples (obtained after the outbreak) and 49 archived serum samples (obtained before the outbreak) were collected for seroepizootiologic investigation.,10.1111/tbed.12867,"An outbreak of Getah virus infection among pigs in China, 2017."
S261,2090,"Zhai et al., 2017",2017,outbreak,East,2,NA,diseased,piglet,PKoV,feces,yes,no,no,no,no,molecular,20,small_scale,independent,20 piglet (<2 weeks old) faecal samples from farms with 150-200 sows,10.1111/tbed.12663,A novel porcine kobuvirus emerged in piglets with severe diarrhoea in China.
S272,1450,"Zhang et al., 2013",2013,outbreak,South Central,NA,NA,diseased,NA,PRRSV,tissues,no,no,yes,no,no,molecular,189,NA,independent,189 lung samples were collected from suspected PRRS pigs ,10.1007/s11262-012-0824-8,Molecular epidemiology of PRRSV from China's Guangxi PoRVince between 2007 and 2009
S278,272,"Zhang et al., 2023",2023,outbreak,Multiple,33,20,diseased,piglet,PCLV,feces_intestines_serum,yes,yes,no,yes,no,molecular,175,NA,independent,"a total of 141 intestinal samples, 17 blood samples, and 17 fecal samples were collected from piglets (see Table 1)",10.1007/s00705-023-05701-0,Detection and genetic analysis of porcine circovirus-like virus in pigs with diarrhea between 2016 and 2021 in Henan and Shanxi PoRVinces of China
S287,59,"Zhang et al., 2024",2024,outbreak,East,3,NA,diseased,piglet,PoRV,feces,yes,no,no,no,no,molecular,67,large_scale,independent,The yellow watery or semisolid feces were collected from these three farms,10.3390/vetsci11090436,"Isolation, Genomic Characterization and Evolution of Six Porcine Rotavirus A Strains in a Pig Farming Group"
