study_ID,covidence_ID,pub_ID,pub_year,study_type,region,total_no_of_farms,total_positive_farm,health_status,sample_healthy,sample_diseased,pig_type,main_virus,studied_viruses,sampling_approach,sampling,sample_type,sample_feces,sample_serum,sample_tissues,sample_intes,sample_swab,sample_fluid,diag_type,sample_size,vaccination,remarks,sampling_statement,DOI,title,,
S001,927,"Anderson et al., 2018",2018,surveillance,East,6,NA,NA,NA,NA,NA,SIV,IAV,single,independent,oral_swabs,yes,no,no,no,no,yes,molecular,3300,NA,NA,,10.1038/s41426-018-0086-1,Prospective surveillance for influenza. virus in Chinese swine farms article,,
S002,244,"Bai et al., 2023",2023,surveillance,Southwest,143,110,diseased,no,yes,NA,PEDV,PEDV,single,independent,feces ,yes,no,no,no,no,no,molecular,673,NA,NA,The swine feces and intestinal contents were homogenized,10.3390/ani13071215,"Phylogenetic and Spatiotemporal Analyses of Porcine Epidemic Diarrhea Virus in Guangxi, China during 2017â€“2022",,
S003,2991,"Cai et al., 2018",2018,surveillance,Multiple,NA,NA,NA,NA,NA,NA,SIV,IAV,single,independent,serum,no,yes,no,no,no,no,serological,2966,NA,NA,A total of 2966 swine serum samples were collected ,10.1016/j.meegid.2018.02.029,"Molecular evolution of H1N1 swine influenza in Guangdong, China, 2016-2017.",,
S006,1388,"Cao et al., 2013",2013,surveillance,South ,40,NA,NA,NA,NA,multiple,AIV,AIV,single,independent,serum,no,yes,no,no,no,no,serological,2371,NA,NA,A total of 1980 pig blood samples were collected,10.1016/j.jcv.2013.09.017,"Avian influenza A (H5N1) virus antibodies in pigs and residents of swine farms, southern China",,
S008,439,"Chen et al., 2022",2022,surveillance,Multiple,NA,NA,NA,NA,NA,NA,PCV3,PCV3,single,independent,serum,no,yes,no,no,no,no,molecular,2707,NA,NA,,10.3390/ani12121588,Prevalence and Evolution Analysis of Porcine Circovirus 3 in China from 2018 to 2022,,
S012,100,"Chen et al., 2024",2024,surveillance,Southwest,NA,NA,diseased,no,yes,NA,PEDV,PEDV,single,independent,tissues_rectal_swabs,no,no,yes,no,yes,no,molecular,548,NA,NA,,10.1007/s00705-024-06029-z,"Molecular characterization and phylogenetic analysis of porcine epidemic diarrhea virus in Xinjiang, China, from 2020 to 2022",,
S015,217,"Chen et al., 2023",2023,surveillance,East,30,23,healthy_diseased,yes,yes,multiple,PSV,PSV,single,independent,feces_intestines_tissues,yes,no,yes,yes,no,no,molecular,260,NA,NA,"A total of 260 clinical samples, including feces, fecal swabs, and intestine sample",10.3390/v15081751,"High Prevalence, Genetic Diversity, and Recombination of Porcine Sapelovirus in Pig Farms in Fujian, Southern China",,
S016,404,"Chen et al., 2022",2022,surveillance,Central,1090,548,NA,NA,NA,NA,PRV,PRV,single,independent,serum,no,yes,no,no,no,no,serological,35796,NA,NA,,10.3390/v14081685,Serological Investigation and Genetic Characteristics of Pseudorabies Virus between 2019 and 2021 in Henan PoRVince of China,,
S019,1579,"Cong et al., 2010",2010,surveillance,Northeast ,NA,NA,diseased,no,yes,NA,SIV,IAV,single,independent,nasal_swabs,no,no,no,no,yes,no,virus_isolation,279,NA,NA,Excluded due to virus isolation method,10.1371/journal.pone.0012591,Reassortant between human-like H3N2 and avian H5 subtype influenza A viruses in pigs: A potential public health risk,,
S024,1504,"Fan et al., 2012",2012,surveillance,South Central,NA,NA,NA,NA,NA,NA,AIV,AIV,single,independent,serum,no,yes,no,no,no,no,serological,690,NA,NA,,10.1128/JVI.06824-11,Emergence and dissemination of a swine H3N2 reassortant influenza virus with 2009 pandemic H1N1 genes in pigs in China,,
S026,1250,"Feng et al., 2015",2015,surveillance,Multiple,NA,NA,healthy,yes,no,fattening_pig,EMCV,EMCV,single,independent,serum,no,yes,no,no,no,no,serological,3470,NA,NA,,10.1007/s00705-015-2591-z,National serosurvey of encephalomyocarditis virus in healthy people and pigs in China,,
S029,780,"Fu et al., 2020",2020,surveillance,South ,4,4,NA,NA,NA,NA,AIV,AIV,single,independent,serum,no,yes,no,no,no,no,serological,2050,NA,NA,,10.1080/22221751.2019.1708811,Evidence of H10N8 influenza virus infection among swine in southern China and its infectivity and transmissibility in swine,,
S032,306,"Gao et al., 2023",2023,surveillance,Multiple,556,257,NA,NA,NA,multiple,PRV,PRV,single,independent,serum,no,yes,no,no,no,no,serological,161880,vaccinated,NA,,10.3389/fvets.2023.1298434,"Epidemiological investigation, determination of related factors, and spatial-temporal cluster analysis of wild type pseudorabies virus seroprevalence in China during 2022",,
S038,2546,"Geng et al., 2011",2011,surveillance,North,NA,NA,NA,NA,NA,multiple,HEV,HEV,single,independent,serum,no,yes,no,no,no,no,serological,988,NA,NA,,10.1111/j.1365-2893.2011.01472.x,"Potential risk of zoonotic transmission from young swine to human: seroepidemiological and genetic characterization of hepatitis E virus in human  and various animals in Beijing, China.",,
S040,1586,"Geng et al., 2010",2010,surveillance,Multiple,NA,NA,NA,NA,NA,NA,HEV,HEV,single,independent,serum,no,yes,no,no,no,no,serological,1967,NA,NA,,10.1089/vbz.2009.0168,Serological prevalence of hepatitis E virus in domestic animals and diversity of genotype 4 hepatitis E virus in China.,,
S041,2344,"Geng et al., 2013",2013,surveillance,North,9,NA,NA,NA,NA,multiple,HEV,HEV,single,independent,serum_feces,yes,yes,no,no,no,no,serological_molecular,94,NA,NA,The blood samples were collected directly from 94 pigs,10.1016/j.meegid.2012.11.006,Comparison of hepatitis E virus genotypes from rabbits and pigs in the same geographic area: no evidence of natural cross-species transmission between the  two animals.,,
S043,980,"Gu et al., 2018",2018,surveillance,East,135,NA,diseased,no,yes,multiple,PRV,PRV,single,independent,serum_tissues,no,yes,yes,no,no,no,molecular,5428,NA,NA,"A total of 5,033 serum samples from different pig farms",10.1111/tbed.12827,Epidemiological investigation of pseudorabies in Shandong PoRVince from 2013 to 2016,,
S050,747,"Guo et al., 2020",2020,surveillance,North,22,19,NA,NA,NA,nursery_pig,PEDV,PEDV,single,independent,tissues,no,no,yes,no,no,no,molecular,76,NA,NA,a total of 76 enteric tissues were collected from 22 pig farms (assumed composite samples/pig),10.1016/j.micpath.2020.104047,"Co-infection status of porcine circoviruses (PCV2 and PCV3) and porcine epidemic diarrhea virus (PEDV) in pigs with watery diarrhea in Henan PoRVince, central China: Co-infection of PCV2, PCV3 and PEDV",,
S052,940,"Ha et al., 2018",2018,surveillance,Northeast ,7,NA,diseased,no,yes,NA,PCV3,PCV3,single,independent,tissues,no,no,yes,no,no,no,molecular,105,NA,NA,105 lung samples isolated from sick pigs,10.1186/s12917-018-1634-6,Molecular detection and genomic characterization of porcine circovirus 3 in pigs from Northeast China,,
S053,586,"Ha et al., 2021",2021,surveillance,North,51,11,healthy,yes,no,multiple,PCV4,PCV4,single,independent,serum,no,yes,no,no,no,no,molecular,1683,NA,NA,,10.1007/s00705-021-05088-w,"Retrospective surveillance of porcine circovirus 4 in pigs in Inner Mongolia, China, from 2016 to 2018",,
S057,1181,"Hu et al., 2016",2016,surveillance,East,224,127,NA,NA,NA,sow,PRV,PRV,single,independent,serum,no,yes,no,no,no,no,serological,6035,NA,NA,,10.4142/jvs.2016.17.3.361,Seroprevalence and associated risk factors of pseudorabies in Shandong PoRVince of China,,
S060,27,"Huang et al., 2024",2024,surveillance,Southwest,NA,NA,NA,NA,NA,NA,PRRSV,PRRSV,single,independent,serum,no,yes,no,no,no,no,molecular,1618,NA,NA,"A total of 1618 tissue samples (lung tissue, lymph nodes, and afterbirth) and blood (whole blood and umbilical cord blood) suspected of PRRSV infection were collected in 21 cities ",10.1016/j.virol.2024.110213,Prevalence and genetic diversity of PRRSV in Sichuan PoRVince of China from 2021 to 2023: Evidence of an ongoing epidemic transition,,
S062,1567,"Huang et al., 2011",2011,surveillance,Southwest,NA,NA,NA,NA,NA,NA,HEV,HEV,single,independent,feces,yes,no,no,no,no,no,molecular,162,NA,NA,Fresh stool samples (162 from pigs and 320 from Macaca mulatta),10.5812/kowsar.1735143X.730,"Seroepidemiology and molecular characterization of hepatitis E virus in Macaca mulatta from a village in Yunnan, China, where infection with this virus is endemic",,
S075,1590,"Jinshan et al., 2010",2010,surveillance,North,14,5,NA,NA,NA,fattening_pig,HEV,HEV,single,independent,serum,no,yes,no,no,no,no,serological_molecular,356,NA,NA,,10.1007/s00705-010-0706-0,"Molecular and serological survey of hepatitis E virus infection among domestic pigs in Inner Mongolia, China",,
S076,1218,"Jun et al., 2016",2016,surveillance,"Northwest
",NA,NA,NA,NA,NA,fattening_pig,SaV,SaV,single,independent,serum_feces,yes,yes,no,no,no,no,serological_molecular,1364,NA,NA,A total of 1218 blood samples of the 3-month-old piglets; 146 fresh stools of 1-month-old piglets ,10.1007/s11250-016-1023-8,"Serological and molecular investigation of porcine sapovirus infection in piglets in Xinjiang, China",,
S079,47,"Lan et al., 2024",2024,surveillance,East,46,44,diseased,no,yes,multiple,GETV,GETV,single,independent,feces_tissues_serum,yes,yes,yes,no,no,no,molecular,411,NA,NA,"6 blood samples were collected from sows with abortions; 246 feces/intestines were collected from diarrheal suckling piglets (N = 189), weaned piglets (N = 20), and sows (N = 37); and 89 lung/lymph nodes were collected from mummified fetuses (N = 26), stillbirths (N = 42), and weaned pigs with neurological symptoms (N = 21).",10.3390/ani14202980,"Novel Porcine Getah Virus from Diarrheal Piglets in Jiangxi PoRVince, China: Prevalence, Genome Sequence, and Pathogenicity",,
S081,5717,"Li et al., 2015",2015,surveillance,East,50,NA,NA,NA,NA,NA,AIV,AIV,single,independent,serum,no,yes,no,no,no,no,serological,2176,NA,NA,,,"Avian influenza H9N2 seroprevalence among pig population and pig farm staff in Shandong, China.",,
S083,92,"Li et al., 2024",2024,surveillance,Multiple,100,NA,NA,NA,NA,piglet,PRRSV,PRRSV,single,independent,serum,no,yes,no,no,no,no,molecular,7335,NA,NA,see Table 1,10.3390/v16050774,"Prevalence, Time of Infection, and Diversity of Porcine Reproductive and Respiratory Syndrome Virus in China",,
S086,298,"Li et al., 2023",2023,surveillance,Multiple,NA,NA,diseased,no,yes,fattening_pig,PRRSV,PRRSV,single,independent,tissues,no,no,yes,no,no,no,molecular,257,NA,NA,A total of 257 lung samples were collected from slaughter pigs,10.1155/2023/1975039,Metagenomic and Pathogenic Assessments Identify a Pathogenic Porcine Reproductive and Respiratory Syndrome Virus 1 with New Deletions from Adult Slaughter Pig in 2022,,
S090,480,"Li et al., 2022",2022,surveillance,Northeast ,30,NA,healthy,yes,no,multiple,SIV,SIV,single,independent,nasal_swabs_serum,no,yes,no,no,yes,no,serological_molecular,33195,NA,NA,"33,195 pig nasal swabs were collected from apparently healthy pigs",10.3390/v14030643,"Prevalence, Genetics, and Evolutionary Properties of Eurasian Avian-Like H1N1 Swine Influenza Viruses in Liaoning",,
S091,234,"Li et al., 2023",2023,surveillance,South Central,19,NA,diseased,no,yes,piglet,PCV4,PCV4,single,independent,tissues_intestines,no,no,yes,yes,no,no,molecular,65,NA,NA,A total of 65 clinical samples (including feces and intestinal tissues) (assumed composite samples/pig),10.1007/s00705-023-05791-w,"Simultaneous detection and phylogenetic analysis of porcine epidemic diarrhea virus and porcine circovirus 4 in Henan PoRVince, China",,
S101,212,"Li et al., 2023",2023,surveillance,South Central,NA,NA,diseased,no,yes,NA,SsPV,Sus scrofa papillomaviruses (SsPV) ,single,independent,skin,no,no,no,no,no,no,molecular,354,NA,NA,,10.1007/s42770-023-01092-1,"Genetic characterization of Sus scrofa papillomavirus type 1 from domestic pigs in Guangxi PoRVince, China",,
S105,3767,"Li et al., 2014",2014,surveillance,East,NA,NA,NA,NA,NA,NA,SFTSV,SFTSV,single,independent,serum,no,yes,no,no,no,no,serological,365,NA,NA,,10.1016/j.jcv.2014.03.020,"Seroprevalence of antibodies against SFTS virus infection in farmers and animals, Jiangsu, China.",,
S106,1348,"Liang et al., 2014",2014,surveillance,South Central,34,NA,NA,NA,NA,multiple,HEV,HEV,single,independent,bile_feces,yes,no,no,no,no,yes,serological_molecular,1073,NA,NA,,10.1371/journal.pone.0088106,"The prevalence of hepatitis e virus infections among swine, swine farmers and the general population in Guangdong PoRVince, China",,
S110,515,"Lin et al., 2021",2021,surveillance,South Central,808,349,healthy_diseased,yes,yes,multiple,PRV,PRV,single,independent,serum,no,yes,no,no,no,no,serological,18138,vaccinated,NA,,10.3389/fvets.2021.762326,Serological Investigation and Genetic Characteristics of Pseudorabies Virus in Hunan PoRVince of China From 2016 to 2020,,
S111,2131,"Liu et al., 2018",2018,surveillance,North,NA,NA,diseased,no,yes,nursery_pig,PDCoV,"PDCoV, PEDV, PoRV",single,independent,feces,yes,no,no,no,no,no,serological,49,NA,NA,faecal/intestinal samples (n = 49) from piglets with diarrhoea on different farms,10.1111/tbed.12821,"Isolation and phylogenetic analysis of porcine deltacoronavirus from pigs with diarrhoea in Hebei PoRVince, China.",,
S112,1351,"Liu et al., 2014",2014,surveillance,Southwest,NA,NA,healthy,yes,no,multiple,SIV,IAV,single,independent,serum,no,yes,no,no,no,no,serological,1263,NA,NA,,10.1007/s11250-013-0458-4,"First report of seroprevalence of swine influenza a virus in Tibetan pigs in Tibet, China",,
S121,543,"Liu et al., 2021",2021,surveillance,East,45,6,diseased,no,yes,piglet,PCLV,PCLV,single,independent,feces_tissues,yes,no,yes,no,no,no,molecular,178,NA,NA,intestinal tissue or feces (assumed composite samples/pig),10.1111/tbed.14223,Emergence of porcine circovirus-like viruses associated with porcine diarrheal disease in China,,
S126,1443,"Luo et al., 2013",2013,surveillance,South Central,NA,NA,NA,NA,NA,multiple,SIV,SIV,single,independent,serum,no,yes,no,no,no,no,serological,31,NA,NA,,10.7589/2012-03-079,"Exposure to swine H1 and H3 and avian H5 and H9 influenza a viruses among feral swine in Southern China, 2009",,
S134,752,"Ma et al., 2020",2020,surveillance,East,362,NA,NA,NA,NA,multiple,PRV,PRV,single_pooled,independent,serum_tissues,no,yes,yes,no,no,no,serological,"18,095",NA,NA,"16,457 serum samples were collected",10.4142/JVS.2020.21.E36,Epidemiological investigation of porcine pseudorabies virus and its coinfection rate in Shandong Province in China from 2015 to 2018,,
S135,517,"Ma et al., 2021",2021,surveillance,East,277,NA,NA,NA,NA,multiple,PCV2,PCV2,single,independent,serum,no,yes,no,no,no,no,serological,6986,NA,NA,"A total number of 6,986 serum samples",10.1186/s12917-020-02718-4,Epidemiological investigation of porcine circovirus type 2 and its coinfection rate in Shandong Province in China from 2015 to 2018,,
S136,1990,"Mai et al., 2018",2018,surveillance,South Central,11,NA,diseased,no,yes,multiple,PDCoV,PDCoV,single,independent,feces_intestines,yes,no,no,yes,no,no,molecular,252,NA,NA,252 faecal and intestinal samples were collected from 11 commercial swine farms (assumed composite samples/pig),10.1111/tbed.12644,The detection and phylogenetic analysis of porcine deltacoronavirus from Guangdong PoRVince in Southern China,,
S138,1039,"Meng et al., 2018",2018,surveillance,Southwest,NA,NA,healthy_diseased,yes,yes,nursery_pig,PBoV,PBoV,single,independent,feces_tissues_serum,yes,yes,yes,no,no,no,molecular,134,NA,NA,"156 clinic156 clinical samples including 81 samples (49 feces and 32 serum) from healthy piglets (non-diarrhea), and 75 samples (42 feces, 11 serum, 13 lymph nodes, and 9 lungs) from sick piglets (diarrhea).",10.4149/av_2018_401,Molecular detection and genetic diversity of porcine bocavirus  in piglets in China,,
